Stuid,Form,Subject_Taken,AvgMarkObtained
G21,1,ELA_F1,64.38
G21,1,FRE_F1,50.38
G21,1,GEO_F1,77.67
G21,1,HIS_F1,75.68
G21,1,MTH_F1,58.23
G21,1,RE_F1,79
G21,1,SCI_F1,74
G21,1,SH_F1,50.33
G21,2,ART_F2,47.22
G21,2,COMP SC_F2,68.9
G21,2,ELA_F2,81.42
G21,2,FRE_F2,46.07
G21,2,GEO_F2,70.55
G21,2,HIS_F2,75.03
G21,2,MTH_F2,58.59
G21,2,RE_F2,72.42
G21,2,SCI_F2,68.19
G21,2,SH_F2,45.39
G21,3_4,ACC_F3&4,0
G21,3_4,ART_F3&4,0
G21,3_4,BIOL_F3&4,73.47
G21,3_4,BST_F3&4,0
G21,3_4,CHEM_F3&4,66.93
G21,3_4,COMP SC_F3&4,0
G21,3_4,D&T_F3&4,0
G21,3_4,ELA_F3&4,44.26
G21,3_4,ELIT_F3&4,53.13
G21,3_4,FRE_F3&4,56.44
G21,3_4,GEO_F3&4,60.74
G21,3_4,HIS_F3&4,59.48
G21,3_4,ICT_F3&4,0
G21,3_4,MTH_F3&4,53.44
G21,3_4,PED_F3&4,0
G21,3_4,PHY_F3&4,59.52
G21,3_4,RE_F3&4,74.54
G22,1,ART_F1,59.67
G22,1,COMP SC_F1,83.13
G22,1,ELA_F1,70.5
G22,1,FRE_F1,61.85
G22,1,GEO_F1,53.75
G22,1,HIS_F1,83.43
G22,1,MTH_F1,76.73
G22,1,RE_F1,72.33
G22,1,SCI_F1,64.49
G22,1,SH_F1,74.17
G22,2,ART_F2,47.81
G22,2,COMP SC_F2,58.58
G22,2,ELA_F2,48.41
G22,2,FRE_F2,54.19
G22,2,GEO_F2,48.8
G22,2,HIS_F2,55.6
G22,2,MTH_F2,37.93
G22,2,RE_F2,64.33
G22,2,SCI_F2,56.78
G22,2,SH_F2,56.04
G22,3_4,ACC_F3&4,0
G22,3_4,ART_F3&4,0
G22,3_4,BIOL_F3&4,53.22
G22,3_4,BST_F3&4,0
G22,3_4,CHEM_F3&4,49.4
G22,3_4,COMP SC_F3&4,0
